nombre,sistema,tipo,masa_Me,radio_Re,dist_AU,insol_Wm2,atmosfera,agua,vulcanismo,exp_E,exp_C,exp_R,exp_familia,confianza,fuentes,notas
Gliese_163c,Gliese 163,Exoplaneta,7.0,1.7,0.325,3.0,Desconocida,Especulativa,Desconocida,5,3,3,X,BAJA,NASA_Exoplanet_Archive,Super-Tierra (3 S) HZ M-dwarf; radio incierto -> X (round=4)
Kepler_62f,Kepler-62,Exoplaneta,1.195,1.32,0.713,0.41,Desconocida,Especulativa,Desconocida,5,4,4,A,BAJA,NASA_Exoplanet_Archive,"HZ exterior (0.41 S), probable agua/hielo superficie -> A; G-type estable. A4"
Kepler_62e,Kepler-62,Exoplaneta,1.61,1.61,0.427,1.02,Desconocida,Especulativa,Desconocida,6,4,5,A,MEDIA,NASA_Exoplanet_Archive,"HZ interior (1.02 S) de K-dwarf tranquila, probable agua -> A; buen candidato. A5"
Kepler_296f,Kepler-296,Exoplaneta,1.2,1.7,0.405,1.5,Desconocida,Especulativa,Desconocida,5,3,4,G,BAJA,NASA_Exoplanet_Archive,Mini-neptuno 1.7 R (1.5 S); gaseoso probable -> G4
Kepler_442b,Kepler-442,Exoplaneta,1.2,1.61,0.409,1.04,Desconocida,Especulativa,Desconocida,6,4,5,A,MEDIA,NASA_Exoplanet_Archive,"Super-Tierra 1.04 S en HZ, uno de los mejores candidatos rocosos -> A; K/M tranquila. A5"
Kepler_1649c,Kepler-1649,Exoplaneta,1.06,1.06,0.387,1.08,Desconocida,Especulativa,Desconocida,6,4,4,A,MEDIA,NASA_Exoplanet_Archive,Tierra-analogo (1.08 S) HZ de M -> A; tamano casi Tierra. A5 (CCE=4.67)
HD_69830d,HD 69830,Exoplaneta,10.5,Desconocida,0.385,6.0,Desconocida,No,Desconocida,6,2,4,G,BAJA,NASA_Exoplanet_Archive,Sub-neptuno (6 S) HZ de K-type; gaseoso -> G4
HD_40307e,HD 40307,Exoplaneta,13.18,Desconocida,1.21,0.22,Desconocida,No,Desconocida,3,2,4,X,BAJA,NASA_Exoplanet_Archive,"Sub-neptuno interior (0.22 S), radio desconocido -> X3"
HD_40307f,HD 40307,Exoplaneta,9.2,Desconocida,1.60,0.10,Desconocida,No,Desconocida,2,2,4,X,BAJA,NASA_Exoplanet_Archive,"Sub-neptuno (0.10 S) frio, radio desconocido -> X (round=3)"
Gliese_832c,Gliese 832,Exoplaneta,5.4,Desconocida,0.1637,3.0,Desconocida,Especulativa,Desconocida,5,3,3,X,BAJA,NASA_Exoplanet_Archive,Super-Tierra (3 S) HZ M-dwarf; radio desconocido -> X (round=4)
Gliese_849b,Gliese 849,Exoplaneta,0.98,Desconocida,1.53,0.17,Desconocida,No,Desconocida,3,2,4,G,BAJA,NASA_Exoplanet_Archive,Joviano largo periodo (0.17 S) frio; gigante -> G3
Ross_128b,Ross 128,Exoplaneta,1.35,Desconocida,0.0479,1.38,Desconocida,Posible,Desconocida,5,3,4,A,MEDIA,NASA_Exoplanet_Archive,Tierra-size (1.38 S) HZ de M tranquila (Ross 128 poco activa) -> A; buen candidato. A4
Teegarden_b,Teegarden's Star,Exoplaneta,1.1,Desconocida,0.0251,0.88,Desconocida,Posible,Desconocida,5,4,4,A,MEDIA,NASA_Exoplanet_Archive,Tierra-size (0.88 S) HZ de M muy tranquila; alto ESI -> A. A4
Teegarden_c,Teegarden's Star,Exoplaneta,1.1,Desconocida,0.0402,0.36,Desconocida,Posible,Desconocida,4,3,4,A,BAJA,NASA_Exoplanet_Archive,Tierra-size (0.36 S) HZ exterior de M -> A; mas frio. A4 (round=3.67)
GJ_357b,GJ 357,Exoplaneta,3.1,Desconocida,0.1116,8.0,Desconocida,Posible,Desconocida,7,2,3,V,BAJA,NASA_Exoplanet_Archive,"Super-Tierra caliente (8 S), tipo lava/Venus; sin agua -> V4 (CCE=4)"
GJ_357d,GJ 357,Exoplaneta,6.1,Desconocida,0.207,1.9,Desconocida,Especulativa,Desconocida,5,3,3,X,BAJA,NASA_Exoplanet_Archive,Super-Tierra (1.9 S) HZ exterior M; radio desconocido -> X (round=4)
Epsilon_Indi_Ab,Epsilon Indi A,Exoplaneta,300,Desconocida,11.0,0.002,Desconocida,No,Desconocida,2,2,4,G,BAJA,NASA_Exoplanet_Archive,Enana marron/gigante (300 M) a 11 AU (0.002 S); frio -> G3 (CCE=2.67)
Barnard_Star_b,Barnard's Star,Exoplaneta,3.2,Desconocida,0.40,1.6,Desconocida,Especulativa,Desconocida,4,2,3,X,BAJA,NASA_Exoplanet_Archive,Super-Tierra fria (1.6 S) M-dwarf; atmosfera especulativa -> X3
Marte_historico,Solar,Planeta_extintoHistorico,0.107,0.532,1.52,590,H2O+CO2 denso,Si,Activo,7,6,5,A,MEDIA,modelo_paleoclimatico,Eon Noeachico (~3.8 Ga): agua superficial + atmosfera densa CO2/H2O -> A; antes de perder atmosfera. A6
Venus_historico,Solar,Planeta_extintoHistorico,0.815,0.949,0.72,2600,N2/H2O vapor,Si,Activo,8,7,5,A,MEDIA,modelo_paleoclimatico,Archeo temprano: posibles oceanos de agua antes del runaway -> A; alta insolacion. A7 (CCE=6.67)
Mercurio_historico,Solar,Planeta_extintoHistorico,0.055,0.383,0.39,9100,H2O+gases,Si,Activo,7,4,3,V,BAJA,modelo_paleoclimatico,Periodo magmatico temprano con H2O+gases y vulcanismo activo -> V; volatil pero energetico. V5 (CCE=4.67)
Ganímedes_futuro,Júpiter,Satelite_futuro,0.025,0.413,0.00715,15,Especulativa,Si,Especulativa,6,6,6,O,BAJA,modelo_teorico,Modelo de mareas futuro; oceano interno sostenido -> O6
Europa_futuro,Júpiter,Satelite_futuro,0.008,0.245,0.00428,50,Especulativa,Si,Especulativa,7,7,6,O,BAJA,modelo_teorico,"Modelo de mareas futuro, oceano interno mantenido -> O7"
Titán_futuro,Saturno,Satelite_futuro,0.0225,0.403,0.01519,5,N2 futuro,Si,Especulativa,6,6,6,M,BAJA,modelo_teorico,Modelo climatico futuro (Sol mas brillante calienta Titan) -> M mejorado. M6
Enceladus_futuro,Saturno,Satelite_futuro,0.0074,0.252,0.00238,0.3,Especulativa,Si,Especulativa,6,6,6,O,BAJA,modelo_teorico,Modelo orbital futuro con oceano activo -> O6
Tierra_futuro,Solar,Planeta_futuro,1.0,1.0,1.0,1360,N2+O2 futuro,Si,Activo,8,8,7,A,MEDIA,modelo_teorico,"En 1-2 Ga, Sol mas brillante; aun habitable pero estresado -> A8 (CCE=7.67)"
Venus_runaway,Solar,Planeta_hitoricoEscenario,0.815,0.949,0.72,2600,H2 escape,No,No,8,1,3,G,MEDIA,modelo_teorico,"Invernadero descontrolado, H2 escapando, esteril -> G4 (CCE=4)"
Marte_futuro,Solar,Planeta_futuro,0.107,0.532,1.52,590,Especulativa,No,No,4,2,4,C,BAJA,modelo_teorico,Perdera atmosfera restante; mas frio y esteril -> C (round CCE=3.33)
Neptuno_futuro,Solar,Planeta_futuro,17.1,3.88,30.1,1.5,Especulativa,No,No,4,2,5,G,BAJA,modelo_teorico,"Deriva orbital, similar al presente -> G4 (CCE=3.67)"
Pluton_historico,Solar,Planetoide_historico,0.0021,0.696,39.5,0.05,N2+CH4 denso,Si,Criovulcanismo activo,4,4,4,V,BAJA,modelo_paleoclimatico,Primeros 100 Ma: N2+CH4 denso + criovulcanismo activo -> V; mas energetico que hoy. V4
TRAPPIST-1b,TRAPPIST,exoplaneta,0.85,1.086,,,desconocida,desconocida,desconocido,10.0,3.0,8.5,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1c,TRAPPIST,exoplaneta,1.38,1.056,,,desconocida,desconocida,desconocido,8.54,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1d,TRAPPIST,exoplaneta,0.41,0.784,,,desconocida,desconocida,desconocido,7.6,3.0,4.1,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1e,TRAPPIST,exoplaneta,0.62,0.92,,,desconocida,desconocida,desconocido,8.54,3.0,6.2,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1f,TRAPPIST,exoplaneta,0.68,1.045,,,desconocida,desconocida,desconocido,7.57,3.0,6.8,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1g,TRAPPIST,exoplaneta,1.34,1.127,,,desconocida,desconocida,desconocido,7.12,3.0,10.0,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
TRAPPIST-1h,TRAPPIST,exoplaneta,0.26,0.755,,,desconocida,desconocida,desconocido,5.59,3.0,2.6,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
Proxima b,Proxima b,exoplaneta,1.27,1.27,,,desconocida,desconocida,desconocido,8.12,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Radial Velocity)
Ross 128b,Ross 128b,exoplaneta,3.2,1.35,,,desconocida,desconocida,desconocido,9.34,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2017 (Radial Velocity)
Tau Ceti e,Tau Ceti e,exoplaneta,4.3,1.95,,,desconocida,desconocida,desconocido,8.96,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
Tau Ceti f,Tau Ceti f,exoplaneta,3.93,1.88,,,desconocida,desconocida,desconocido,9.17,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
Kepler-442b,Kepler,exoplaneta,1.3,1.61,,,desconocida,desconocida,desconocido,9.2,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2015 (Transit)
Kepler-186f,Kepler,exoplaneta,0,1.17,,,desconocida,desconocida,desconocido,9.79,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2014 (Transit)
Kepler-62f,Kepler,exoplaneta,0,1.41,,,desconocida,desconocida,desconocido,8.51,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2013 (Transit)
Kepler-62e,Kepler,exoplaneta,0,1.61,,,desconocida,desconocida,desconocido,9.97,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2013 (Transit)
TOI-700d,TOI,exoplaneta,0,1.19,,,desconocida,desconocida,desconocido,9.65,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2020 (Transit)
GJ 667C e,GJ 667C e,exoplaneta,2.67,1.49,,,desconocida,desconocida,desconocido,9.65,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2013 (Radial Velocity)
GJ 667C f,GJ 667C f,exoplaneta,2.13,1.46,,,desconocida,desconocida,desconocido,8.06,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2013 (Radial Velocity)
Teegarden c,Teegarden c,exoplaneta,0,1.2,,,desconocida,desconocida,desconocido,8.54,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2018 (Radial Velocity)
Teegarden b,Teegarden b,exoplaneta,0,1.05,,,desconocida,desconocida,desconocido,9.79,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2018 (Radial Velocity)
Barnard c,Barnard c,exoplaneta,3.2,0.99,,,desconocida,desconocida,desconocido,10.0,6.57,10.0,A,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2023 (Radial Velocity)
Barnard b,Barnard b,exoplaneta,0,1.16,,,desconocida,desconocida,desconocido,4.31,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2018 (Radial Velocity)
LHS 475b,LHS 475b,exoplaneta,0,1.25,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2022 (Transit)
K2-18b,K2,exoplaneta,8.63,2.6,,,desconocida,desconocida,desconocido,9.2,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2015 (Transit)
K2-18c,K2,exoplaneta,0,1.5,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2019 (Transit)
HD 40307g,HD 40307g,exoplaneta,7.1,2.13,,,desconocida,desconocida,desconocido,8.09,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
Epsilon Eridani b,Epsilon Eridani b,exoplaneta,0.35,0.73,,,desconocida,desconocida,desconocido,2.95,3.0,3.5,C,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2000 (Radial Velocity)
Gliese 12b,Gliese 12b,exoplaneta,0,1.04,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2023 (Transit)
Wolf 1069b,Wolf 1069b,exoplaneta,0,1.05,,,desconocida,desconocida,desconocido,9.38,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2023 (Radial Velocity)
Gliese 163c,Gliese 163c,exoplaneta,6.82,2.05,,,desconocida,desconocida,desconocido,7.4,3.0,10.0,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
HD 85512b,HD 85512b,exoplaneta,3.6,2.1,,,desconocida,desconocida,desconocido,10.0,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2011 (Radial Velocity)
Gliese 667C b,Gliese 667C b,exoplaneta,3.75,1.58,,,desconocida,desconocida,desconocido,10.0,3.0,10.0,G,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
HD 215152b,HD 215152b,exoplaneta,0,2.0,,,desconocida,desconocida,desconocido,9.97,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2016 (Transit)
GJ 357b,GJ 357b,exoplaneta,0,1.21,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2019 (Radial Velocity)
GJ 357d,GJ 357d,exoplaneta,0,1.75,,,desconocida,desconocida,desconocido,5.38,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2019 (Radial Velocity)
L 98-59b,L 98,exoplaneta,0,1.27,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2021 (Transit)
L 98-59c,L 98,exoplaneta,0,1.26,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2021 (Transit)
L 98-59d,L 98,exoplaneta,0,1.46,,,desconocida,desconocida,desconocido,5.69,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2021 (Transit)
HD 40307d,HD 40307d,exoplaneta,0,1.24,,,desconocida,desconocida,desconocido,10.0,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
HD 40307e,HD 40307e,exoplaneta,0,1.44,,,desconocida,desconocida,desconocido,9.13,,,X,MEDIA,NASA Exoplanet Archive,Descubrimiento: 2012 (Radial Velocity)
